"id","source_filename","public_filename","public_path"
"pointing_to_self","pose_pointing_to_self_004.webp","pose-pointing-to-self.webp","/assets/dictionary/pose/female/pose-pointing-to-self.webp"
"pointing_up","pose_pointing_up_004.webp","pose-pointing-up.webp","/assets/dictionary/pose/female/pose-pointing-up.webp"
"praying","pose_praying.webp","pose-praying.webp","/assets/dictionary/pose/female/pose-praying.webp"
"raised_fist","pose_raised_fist.webp","pose-raised-fist.webp","/assets/dictionary/pose/female/pose-raised-fist.webp"
"reaching","pose_reaching.webp","pose-reaching.webp","/assets/dictionary/pose/female/pose-reaching.webp"
"reaching_towards_viewer","pose_reaching_towards_viewer_004.webp","pose-reaching-towards-viewer.webp","/assets/dictionary/pose/female/pose-reaching-towards-viewer.webp"
"relaxed_standing","pose_relaxed_standing_001.webp","pose-relaxed-standing.webp","/assets/dictionary/pose/female/pose-relaxed-standing.webp"
"resting_chin_on_hand","pose_resting_chin_on_hand_003.webp","pose-resting-chin-on-hand.webp","/assets/dictionary/pose/female/pose-resting-chin-on-hand.webp"
"rubbing_eyes","pose_rubbing_eyes_001.webp","pose-rubbing-eyes.webp","/assets/dictionary/pose/female/pose-rubbing-eyes.webp"
"running","pose_running_004.webp","pose-running.webp","/assets/dictionary/pose/female/pose-running.webp"
"salute","pose_retake_auto_salute_002.webp","pose-salute.webp","/assets/dictionary/pose/female/pose-salute.webp"
"scratching_head","pose_scratching_head_002.webp","pose-scratching-head.webp","/assets/dictionary/pose/female/pose-scratching-head.webp"
"seiza","pose_seiza_002.webp","pose-seiza.webp","/assets/dictionary/pose/female/pose-seiza.webp"
"shushing","pose_shushing_002.webp","pose-shushing.webp","/assets/dictionary/pose/female/pose-shushing.webp"
"sitting","pose_sitting_002.webp","pose-sitting.webp","/assets/dictionary/pose/female/pose-sitting.webp"
"sitting_backwards","pose_sitting_backwards.webp","pose-sitting-backwards.webp","/assets/dictionary/pose/female/pose-sitting-backwards.webp"
"sleeping","pose_sleeping_002.webp","pose-sleeping.webp","/assets/dictionary/pose/female/pose-sleeping.webp"
"standing","pose_standing_002.webp","pose-standing.webp","/assets/dictionary/pose/female/pose-standing.webp"
"standing_on_one_leg","pose_standing_on_one_leg_001.webp","pose-standing-on-one-leg.webp","/assets/dictionary/pose/female/pose-standing-on-one-leg.webp"
"standing_on_tiptoes","pose_standing_on_tiptoes_004.webp","pose-standing-on-tiptoes.webp","/assets/dictionary/pose/female/pose-standing-on-tiptoes.webp"
"standing_straight","pose_standing_straight_002.webp","pose-standing-straight.webp","/assets/dictionary/pose/female/pose-standing-straight.webp"
"stretching","pose_stretching.webp","pose-stretching.webp","/assets/dictionary/pose/female/pose-stretching.webp"
"thumbs_up","pose_thumbs_up_004.webp","pose-thumbs-up.webp","/assets/dictionary/pose/female/pose-thumbs-up.webp"
"touching_lips","pose_touching_lips_003.webp","pose-touching-lips.webp","/assets/dictionary/pose/female/pose-touching-lips.webp"
"twirling_hair","pose_twirling_hair.webp","pose-twirling-hair.webp","/assets/dictionary/pose/female/pose-twirling-hair.webp"
"tying_hair","pose_tying_hair_003.webp","pose-tying-hair.webp","/assets/dictionary/pose/female/pose-tying-hair.webp"
"walking","pose_retake_auto_walking_001.webp","pose-walking.webp","/assets/dictionary/pose/female/pose-walking.webp"
"wariza","pose_wariza_003.webp","pose-wariza.webp","/assets/dictionary/pose/female/pose-wariza.webp"
"waving","pose_waving_004.webp","pose-waving.webp","/assets/dictionary/pose/female/pose-waving.webp"
"wiping_tears","pose_wiping_tears_001.webp","pose-wiping-tears.webp","/assets/dictionary/pose/female/pose-wiping-tears.webp"
"yokozuwari","pose_yokozuwari_003.webp","pose-yokozuwari.webp","/assets/dictionary/pose/female/pose-yokozuwari.webp"
